# ----------------------------------------
# Demographic details: Country
# Account: AI TECH LABS
# Property: AI_Fusion
# ----------------------------------------
# 
# All Users
# Start date: 20260819
# End date: 20260820
Country,Date,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
Canada,20260819,149,98,162,0.8571428571428571,1.087248322147651,180.44295302013424,7308,2039,0.9731543624161074,38.878801
Paraguay,20260819,149,139,99,0.5469613259668509,0.6644295302013423,44.30201342281879,2850,918,1,6.215867
Burundi,20260820,148,63,171,0.8952879581151832,1.1554054054054055,214.1283783783784,6371,1220,0.9121621621621622,1.361865
Libya,20260820,145,63,148,0.8043478260869565,1.0206896551724138,189.8,6643,1357,0.903448275862069,1.101598
Bolivia,20260820,143,97,121,0.7515527950310559,0.8461538461538461,118.0979020979021,5909,1563,0.9440559440559441,1.182281
Peru,20260820,139,98,111,0.6453488372093024,0.7985611510791367,120.46043165467626,4788,1277,0.9640287769784173,4.124564
Jordan,20260819,138,95,136,0.7120418848167539,0.9855072463768116,246.94202898550725,12968,1354,0.9927536231884058,3.242418
Cuba,20260819,137,69,167,0.784037558685446,1.218978102189781,225.42335766423358,5953,1040,0.9708029197080292,0.428393
Kazakhstan,20260820,135,107,90,0.5844155844155844,0.6666666666666666,56.45925925925926,3213,918,0.9703703703703703,2.14297
Paraguay,20260820,134,114,85,0.5743243243243243,0.6343283582089553,37.17910447761194,2186,704,0.9552238805970149,0.823761
Yemen,20260819,132,50,151,0.7783505154639175,1.143939393939394,250.87878787878788,8264,1305,1,0.945736
Jordan,20260820,130,75,108,0.631578947368421,0.8307692307692308,171.44615384615383,7724,1306,0.9846153846153847,6.153728
Dominican Republic,20260820,129,57,147,0.8596491228070176,1.1395348837209303,423.06201550387595,6733,1692,0.9534883720930233,9.683237
Sierra Leone,20260819,121,47,152,0.8128342245989305,1.256198347107438,204.5206611570248,4264,812,1,0.990129
Qatar,20260820,119,86,77,0.5579710144927537,0.6470588235294118,86.56302521008404,3662,1024,0.9495798319327731,2.527433
Mali,20260820,118,63,122,0.8413793103448276,1.0338983050847457,143.4406779661017,5107,1153,0.9661016949152542,1.63204
Iran,20260819,114,37,113,0.7793103448275862,0.9912280701754386,185.2719298245614,4187,607,0.9035087719298246,0.500123
Cuba,20260820,113,51,129,0.8835616438356164,1.1415929203539823,276.37168141592923,5373,1085,0.8761061946902655,0.527431
Palestine,20260819,113,37,115,0.688622754491018,1.0176991150442478,205.4513274336283,5023,1193,1,0.822905
Tanzania,20260819,110,33,124,0.7701863354037267,1.1272727272727272,173.8181818181818,3618,542,0.9818181818181818,0.712286
Qatar,20260819,108,90,77,0.5923076923076923,0.7129629629629629,93.24074074074075,3424,1066,1,2.543122
Israel,20260819,104,81,94,0.7175572519083969,0.9038461538461539,112.47115384615384,4103,1230,0.9903846153846154,8.042143
Kazakhstan,20260819,104,90,98,0.6950354609929078,0.9423076923076923,127.73076923076923,3723,1089,1,1.851775
Palestine,20260820,104,40,101,0.7214285714285714,0.9711538461538461,182.96153846153845,4871,1072,0.9230769230769231,0.812307
Lebanon,20260819,102,70,114,0.7972027972027972,1.1176470588235294,252.97058823529412,7518,1873,1,1.410832
Canada,20260820,101,43,104,0.8524590163934426,1.0297029702970297,197.12871287128712,4572,1175,0.8910891089108911,13.432166
Lebanon,20260820,101,52,106,0.7851851851851852,1.0495049504950495,235.4851485148515,6067,1458,0.9603960396039604,1.43415
Yemen,20260820,101,42,106,0.7910447761194029,1.0495049504950495,209.4257425742574,5019,899,0.8613861386138614,0.718751
Tajikistan,20260820,96,66,107,0.856,1.1145833333333333,169.75,4807,930,0.9583333333333334,1.212203
